02-02-0003	Methoden der empirischen Sozialforschung	Fachpr�fung		Do, 30. Jul. 2015 08:00 10:00		
Pr�fungsnummer	Matrikelnummer	Vorname	Mittelname	Name	Noten	Abwesend (x)
	54656568	Sebastian Klaus		Chouchane	5,0	
	56436325	Lutz Fabian		Ditt Frigeri		
	76682930	Usman Sharif		Fabig		
	26745154	Lillith		Gadhoum		
	4446094	Anne Sara		Gaertner		
	22671977	Shamanthi		Koppermann		
	24521411	Yiwen		Koslowski	4,1	
	65784089	Jean Gerrit		Loraing		
	50429587	Jan-Niklaas		Neureither		
	36905426	Shu Min		�zay		
	35692418	Yuhong		Schneewei�	4,0	
	41613445	Christin Kerstin		Spencer		
	85823141	Hussien		Terra		
	25637992	Eugenie		Willemsen		
